available,price,minimum_nights,maximum_nights,room_type,accomodates,bedrooms,beds,total_reviews,join_age,no_of_bath
1.0,61.67,3.0,1000.0,Entire home/apt,8,4.0,4.0,84.0,3144,2.5
1.0,119.0,2.0,16.0,Entire home/apt,2,1.0,1.0,48.0,2460,1.0
1.0,500.0,4.0,1125.0,Entire home/apt,6,3.0,3.0,20.0,2707,3.0
1.0,63.0,100.0,1125.0,Entire home/apt,2,1.0,1.0,120.0,2453,1.0
0.0,75.0,1.0,1125.0,Entire home/apt,2,1.0,1.0,360.0,2813,1.0
0.0,60.0,1.33,1125.0,Entire home/apt,2,1.0554016620498614,1.0,564.0,2813,1.0
0.0,60.0,1.67,1125.0,Entire home/apt,2,1.0554016620498614,1.0,352.0,2813,1.0
0.0,60.0,1.67,1125.0,Entire home/apt,2,1.0554016620498614,1.0,182.0,2813,1.0
1.0,110.0,5.0,1125.0,Entire home/apt,4,2.0,2.0,59.0,2602,2.0
1.0,140.0,3.0,1125.0,Entire home/apt,4,2.0,2.0,15.0,2602,2.5
1.0,80.0,21.0,1125.0,Entire home/apt,4,2.0,3.0,6.0,2602,2.5
1.0,156.67,1.0,1125.0,Entire home/apt,4,2.0,2.0,139.0,2435,1.0
1.0,150.0,1.0,1125.0,Entire home/apt,5,2.0,4.0,280.0,2435,2.5
0.0,171.0,1.0,1125.0,Entire home/apt,4,1.0,1.0,19.0,3585,1.0
1.0,80.0,2.0,1125.0,Entire home/apt,4,2.0,2.0,22.0,2428,1.5
0.0,35.0,6.0,1125.0,Private room,3,2.0,2.0,1.0,3376,1.0
0.0,35.0,4.0,1125.0,Private room,2,1.0,1.0,8.0,3376,1.0
1.0,95.0,1.0,1125.0,Entire home/apt,4,2.0,3.0,43.0,2410,1.0
1.0,94.67,2.0,10.0,Entire home/apt,2,1.0,2.0,92.0,2410,1.0
0.0,55.0,2.0,2.0,Entire home/apt,2,1.0,1.0,0.0,2427,1.0
1.0,70.0,2.0,1125.0,Entire home/apt,2,1.0,1.0,30.0,2408,1.0
1.0,49.0,2.0,1125.0,Entire home/apt,2,1.0554016620498614,1.0,213.0,2407,1.0
1.0,43.0,2.0,1125.0,Entire home/apt,3,1.2846153846153847,1.0,43.0,2407,1.0
0.0,45.0,3.0,1125.0,Entire home/apt,4,1.0,3.0,447.0,2545,1.5
0.0,90.0,1.0,1125.0,Entire home/apt,5,3.0,3.0,312.0,1276,1.0
0.0,81.0,1.0,1125.0,Entire home/apt,4,2.0,2.0,50.0,1276,1.5
0.0,80.0,1.0,1125.0,Entire home/apt,6,3.0,3.0,172.0,1276,1.5
1.0,65.0,1.0,1125.0,Entire home/apt,4,1.0,2.0,92.0,1276,1.5
0.0,76.67,1.0,1125.0,Entire home/apt,4,1.0,2.0,101.0,1276,1.5
0.0,76.67,1.0,1125.0,Entire home/apt,4,1.0,1.0,25.0,1276,1.0
0.0,80.0,1.0,1125.0,Entire home/apt,4,1.0,2.0,30.0,1276,1.5
0.0,165.0,2.0,1125.0,Entire home/apt,4,2.0,2.0,8.0,1276,1.5
1.0,70.0,3.0,365.0,Entire home/apt,3,1.0,2.0,34.0,2394,1.0
0.33,691.67,2.0,1125.0,Entire home/apt,16,8.0,25.0,33.0,2643,8.5
1.0,80.0,2.0,100.0,Entire home/apt,2,1.0,1.0,73.0,2393,1.5
1.0,80.0,2.0,100.0,Entire home/apt,2,1.0,1.0,21.0,2393,1.0
0.0,122.67,2.0,1125.0,Entire home/apt,2,1.0,1.4600985221674876,177.0,2392,1.5
0.0,115.0,3.0,15.0,Entire home/apt,2,1.0,1.0,111.0,2632,1.0
